model_full_name,year,brand,sub_model,value_type,engine,miles,price
2020 Toyota Tacoma SR,2020,Toyota,Tacoma,great Value,,13040,39888
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,great Value,,26346,36798
2021 Toyota Venza XLE,2021,Toyota,Venza,great Value,,1964,41586
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,great Value,,5999,21606
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,great Value,,76831,28738
2019 Volvo XC90 T6 Momentum,2019,Volvo,XC90,great Value,,34435,47125
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,great Value,,32612,36455
2021 Toyota Tundra Limited Edition,2021,Toyota,Tundra,great Value,,9042,54984
2018 Honda CR-V EXL,2018,Honda,CR-V,great Value,,42538,29299
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,great Value,,124225,5995
2017 Toyota Tacoma TRD Off Road,2017,Toyota,Tacoma,great Value,,29978,33981
2021 GMC Canyon Elevation,2021,GMC,Canyon,great Value,,944,41000
2020 Subaru Forester,2020,Subaru,Forester,great Value,,9703,27885
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,great Value,,37677,50286
2019 Chevrolet Corvette Grand Sport LT2,2019,Chevrolet,Corvette,great Value,,18073,76950
2020 Ford Mustang GT,2020,Ford,Mustang,great Value,,8306,42915
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,great Value,,31332,42397
2018 Dodge Charger GT,2018,Dodge,Charger,great Value,,33433,29499
2019 Ford Ranger Lariat,2019,Ford,Ranger,great Value,,5670,40998
2014 Lexus IS 250,2014,Lexus,IS,great Value,6 Cyl 2.5 L,87066,22988
2018 Toyota Camry,2018,Toyota,Camry,great Value,,120292,18883
2012 Chevrolet Equinox LT LT1,2012,Chevrolet,Equinox,great Value,,168000,7980
2008 Dodge Caliber R/T,2008,Dodge,Caliber,good Value,,127999,5999
2010 BMW 5 Series 535i,2010,BMW,5,great Value,,121352,9995
2018 Subaru Outback 2.5i Limited,2018,Subaru,Outback,good Value,,25734,31988
2020 Toyota Tacoma SR,2020,Toyota,Tacoma,great Value,,13040,39888
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,great Value,,26346,36798
2021 Toyota Venza XLE,2021,Toyota,Venza,great Value,,1964,41586
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,great Value,,5999,21606
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,great Value,,76831,28738
2019 Volvo XC90 T6 Momentum,2019,Volvo,XC90,great Value,,34435,47125
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,great Value,,32612,36455
2021 Toyota Tundra Limited Edition,2021,Toyota,Tundra,great Value,,9042,54984
2018 Honda CR-V EXL,2018,Honda,CR-V,great Value,,42538,29299
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,great Value,,124225,5995
2017 Toyota Tacoma TRD Off Road,2017,Toyota,Tacoma,great Value,,29978,33981
2021 GMC Canyon Elevation,2021,GMC,Canyon,great Value,,944,41000
2020 Subaru Forester,2020,Subaru,Forester,great Value,,9703,27885
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,great Value,,37677,50286
2019 Chevrolet Corvette Grand Sport LT2,2019,Chevrolet,Corvette,great Value,,18073,76950
2020 Ford Mustang GT,2020,Ford,Mustang,great Value,,8306,42915
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,great Value,,31332,42397
2018 Dodge Charger GT,2018,Dodge,Charger,great Value,,33433,29499
2019 Ford Ranger Lariat,2019,Ford,Ranger,great Value,,5670,40998
2014 Lexus IS 250,2014,Lexus,IS,great Value,6 Cyl 2.5 L,87066,22988
2018 Toyota Camry,2018,Toyota,Camry,great Value,,120292,18883
2012 Chevrolet Equinox LT LT1,2012,Chevrolet,Equinox,great Value,,168000,7980
2008 Dodge Caliber R/T,2008,Dodge,Caliber,good Value,,127999,5999
2010 BMW 5 Series 535i,2010,BMW,5,great Value,,121352,9995
2018 Subaru Outback 2.5i Limited,2018,Subaru,Outback,good Value,,25734,31988
2020 Toyota Tacoma SR,2020,Toyota,Tacoma,great Value,,13040,39888
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,great Value,,26346,36798
2021 Toyota Venza XLE,2021,Toyota,Venza,great Value,,1964,41586
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,great Value,,5999,21606
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,great Value,,76831,28738
2019 Volvo XC90 T6 Momentum,2019,Volvo,XC90,great Value,,34435,47125
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,great Value,,32612,36455
2021 Toyota Tundra Limited Edition,2021,Toyota,Tundra,great Value,,9042,54984
2018 Honda CR-V EXL,2018,Honda,CR-V,great Value,,42538,29299
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,great Value,,124225,5995
2017 Toyota Tacoma TRD Off Road,2017,Toyota,Tacoma,great Value,,29978,33981
2021 GMC Canyon Elevation,2021,GMC,Canyon,great Value,,944,41000
2020 Subaru Forester,2020,Subaru,Forester,great Value,,9703,27885
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,great Value,,37677,50286
2019 Chevrolet Corvette Grand Sport LT2,2019,Chevrolet,Corvette,great Value,,18073,76950
2020 Ford Mustang GT,2020,Ford,Mustang,great Value,,8306,42915
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,great Value,,31332,42397
2018 Dodge Charger GT,2018,Dodge,Charger,great Value,,33433,29499
2019 Ford Ranger Lariat,2019,Ford,Ranger,great Value,,5670,40998
2014 Lexus IS 250,2014,Lexus,IS,great Value,6 Cyl 2.5 L,87066,22988
2018 Toyota Camry,2018,Toyota,Camry,great Value,,120292,18883
2012 Chevrolet Equinox LT LT1,2012,Chevrolet,Equinox,great Value,,168000,7980
2008 Dodge Caliber R/T,2008,Dodge,Caliber,good Value,,127999,5999
2010 BMW 5 Series 535i,2010,BMW,5,great Value,,121352,9995
2018 Subaru Outback 2.5i Limited,2018,Subaru,Outback,good Value,,25734,31988
2020 Toyota Tacoma SR,2020,Toyota,Tacoma,great Value,,13040,39888
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,great Value,,26346,36798
2021 Toyota Venza XLE,2021,Toyota,Venza,great Value,,1964,41586
2020 Chevrolet Trax LS,2020,Chevrolet,Trax,great Value,,5999,21606
2016 Chevrolet Camaro SS 1SS,2016,Chevrolet,Camaro,great Value,,76831,28738
2019 Volvo XC90 T6 Momentum,2019,Volvo,XC90,great Value,,34435,47125
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,great Value,,32612,36455
2021 Toyota Tundra Limited Edition,2021,Toyota,Tundra,great Value,,9042,54984
2018 Honda CR-V EXL,2018,Honda,CR-V,great Value,,42538,29299
2000 Chevrolet Monte Carlo SS,2000,Chevrolet,Monte,great Value,,124225,5995
2017 Toyota Tacoma TRD Off Road,2017,Toyota,Tacoma,great Value,,29978,33981
2021 GMC Canyon Elevation,2021,GMC,Canyon,great Value,,944,41000
2020 Subaru Forester,2020,Subaru,Forester,great Value,,9703,27885
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,Silverado,great Value,,37677,50286
2019 Chevrolet Corvette Grand Sport LT2,2019,Chevrolet,Corvette,great Value,,18073,76950
2020 Ford Mustang GT,2020,Ford,Mustang,great Value,,8306,42915
2019 Chevrolet Colorado ZR2,2019,Chevrolet,Colorado,great Value,,31332,42397
2018 Dodge Charger GT,2018,Dodge,Charger,great Value,,33433,29499
2019 Ford Ranger Lariat,2019,Ford,Ranger,great Value,,5670,40998
2014 Lexus IS 250,2014,Lexus,IS,great Value,6 Cyl 2.5 L,87066,22988
2018 Toyota Camry,2018,Toyota,Camry,great Value,,120292,18883
2012 Chevrolet Equinox LT LT1,2012,Chevrolet,Equinox,great Value,,168000,7980
2008 Dodge Caliber R/T,2008,Dodge,Caliber,good Value,,127999,5999
2010 BMW 5 Series 535i,2010,BMW,5,great Value,,121352,9995
